timestamp,price,volume
2023-01-01,100.7577333320624,8159
2023-01-02,100.1160807133957,2367
2023-01-03,99.72872885440094,3212
2023-01-04,100.15841898452548,8866
2023-01-05,100.2658749469416,1134
2023-01-06,100.10731989972949,1415
2023-01-07,100.48623766732925,9389
2023-01-08,100.64139733962594,4818
2023-01-09,100.36271356797153,8153
2023-01-10,100.2498572452294,3114
2023-01-11,100.27770612466509,8614
2023-01-12,100.08924036850422,5574
2023-01-13,100.55743302798481,7413
2023-01-14,100.6989598191601,9576
2023-01-15,100.71076686206747,3502
2023-01-16,100.53755021163612,5661
2023-01-17,99.97463445460457,7013
2023-01-18,100.55525725165924,9307
2023-01-19,101.11190746745021,1689
2023-01-20,100.72323506635351,7784
2023-01-21,100.81469674325625,4584
2023-01-22,100.87919464110857,9033
2023-01-23,101.82141278553999,7029
2023-01-24,101.95432346039549,6964
2023-01-25,101.0269707605245,5922
2023-01-26,100.93384109458785,7041
2023-01-27,100.03557252415654,7205
2023-01-28,99.3913936071642,9358
2023-01-29,99.2165957173751,5533
2023-01-30,98.80536939674437,2986
